PRESIDENT 2016
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,New Jersey,20161108,N/A,MERCER,County,"156,529","46,193","Trump, Donald J.",Challenger,"104,775","Clinton, Hillary Rodham",Challenger,Independent,"3,267","Johnson, Gary E.",Challenger,"2,294","58,582",D,29.51,66.94,2.09,1.47,30.60,69.40,"The other vote was: Stein, Jill (Independent) 1,677; La Riva, Gloria (Write-in) 38; De La Fuente, Roque (Independent) 142; Castle, Darrell (Independent) 207; Kennedy, Alyson (Independent) 61; Moorehead, Monica (Write-in) 169",,"The other vote was: Stein, Jill (Independent) 1,677; La Riva, Gloria (Write-in) 38; De La Fuente, Roque (Independent) 142; Castle, Darrell (Independent) 207; Kennedy, Alyson (Independent) 61; Moorehead, Monica (Write-in) 169"
President,New Jersey,20161108,N/A,MIDDLESEX,County,"326,102","122,953","Trump, Donald J.",Challenger,"193,044","Clinton, Hillary Rodham",Challenger,Independent,"5,446","Johnson, Gary E.",Challenger,"4,659","70,091",D,37.70,59.20,1.67,1.43,38.91,61.09,"The other vote was: Stein, Jill (Independent) 3,452; La Riva, Gloria (Write-in) 90; De La Fuente, Roque (Independent) 146; Castle, Darrell (Independent) 368; Kennedy, Alyson (Independent) 436; Moorehead, Monica (Write-in) 167",,"The other vote was: Stein, Jill (Independent) 3,452; La Riva, Gloria (Write-in) 90; De La Fuente, Roque (Independent) 146; Castle, Darrell (Independent) 368; Kennedy, Alyson (Independent) 436; Moorehead, Monica (Write-in) 167"
President,New Jersey,20161108,N/A,MONMOUTH,County,"314,377","166,723","Trump, Donald J.",Challenger,"137,181","Clinton, Hillary Rodham",Challenger,Independent,"6,388","Johnson, Gary E.",Challenger,"4,085","29,542",R,53.03,43.64,2.03,1.30,54.86,45.14,"The other vote was: Stein, Jill (Independent) 3,189; La Riva, Gloria (Write-in) 61; De La Fuente, Roque (Independent) 104; Castle, Darrell (Independent) 287; Kennedy, Alyson (Independent) 103; Moorehead, Monica (Write-in) 341",,"The other vote was: Stein, Jill (Independent) 3,189; La Riva, Gloria (Write-in) 61; De La Fuente, Roque (Independent) 104; Castle, Darrell (Independent) 287; Kennedy, Alyson (Independent) 103; Moorehead, Monica (Write-in) 341"
President,New Jersey,20161108,N/A,MORRIS,County,"250,416","126,071","Trump, Donald J.",Challenger,"115,249","Clinton, Hillary Rodham",Challenger,Independent,"5,943","Johnson, Gary E.",Challenger,"3,153","10,822",R,50.34,46.02,2.37,1.26,52.24,47.76,"The other vote was: Stein, Jill (Independent) 2,532; La Riva, Gloria (Write-in) 34; De La Fuente, Roque (Independent) 119; Castle, Darrell (Independent) 334; Kennedy, Alyson (Independent) 75; Moorehead, Monica (Write-in) 59",,"The other vote was: Stein, Jill (Independent) 2,532; La Riva, Gloria (Write-in) 34; De La Fuente, Roque (Independent) 119; Castle, Darrell (Independent) 334; Kennedy, Alyson (Independent) 75; Moorehead, Monica (Write-in) 59"
President,New Jersey,20161108,N/A,OCEAN,County,"274,362","179,079","Trump, Donald J.",Challenger,"87,150","Clinton, Hillary Rodham",Challenger,Independent,"4,867","Johnson, Gary E.",Challenger,"3,266","91,929",R,65.27,31.76,1.77,1.19,67.27,32.73,"The other vote was: Stein, Jill (Independent) 2,122; La Riva, Gloria (Write-in) 57; De La Fuente, Roque (Independent) 39; Castle, Darrell (Independent) 937; Kennedy, Alyson (Independent) 92; Moorehead, Monica (Write-in) 19",,"The other vote was: Stein, Jill (Independent) 2,122; La Riva, Gloria (Write-in) 57; De La Fuente, Roque (Independent) 39; Castle, Darrell (Independent) 937; Kennedy, Alyson (Independent) 92; Moorehead, Monica (Write-in) 19"
President,New Jersey,20161108,N/A,PASSAIC,County,"194,802","72,902","Trump, Donald J.",Challenger,"116,759","Clinton, Hillary Rodham",Challenger,Independent,"2,541","Johnson, Gary E.",Challenger,"2,600","43,857",D,37.42,59.94,1.30,1.33,38.44,61.56,"The other vote was: Stein, Jill (Independent) 1,948; La Riva, Gloria (Write-in) 242; De La Fuente, Roque (Independent) 83; Castle, Darrell (Independent) 212; Kennedy, Alyson (Independent) 61; Moorehead, Monica (Write-in) 54",,"The other vote was: Stein, Jill (Independent) 1,948; La Riva, Gloria (Write-in) 242; De La Fuente, Roque (Independent) 83; Castle, Darrell (Independent) 212; Kennedy, Alyson (Independent) 61; Moorehead, Monica (Write-in) 54"
President,New Jersey,20161108,N/A,SALEM,County,"29,494","16,381","Trump, Donald J.",Challenger,"11,904","Clinton, Hillary Rodham",Challenger,Independent,862,"Johnson, Gary E.",Challenger,347,"4,477",R,55.54,40.36,2.92,1.18,57.91,42.09,"The other vote was: Stein, Jill (Independent) 238; La Riva, Gloria (Write-in) 5; De La Fuente, Roque (Independent) 6; Castle, Darrell (Independent) 72; Kennedy, Alyson (Independent) 10; Moorehead, Monica (Write-in) 16",,"The other vote was: Stein, Jill (Independent) 238; La Riva, Gloria (Write-in) 5; De La Fuente, Roque (Independent) 6; Castle, Darrell (Independent) 72; Kennedy, Alyson (Independent) 10; Moorehead, Monica (Write-in) 16"
President,New Jersey,20161108,N/A,SOMERSET,County,"157,092","65,505","Trump, Donald J.",Challenger,"85,689","Clinton, Hillary Rodham",Challenger,Independent,"3,776","Johnson, Gary E.",Challenger,"2,122","20,184",D,41.70,54.55,2.40,1.35,43.33,56.67,"The other vote was: Stein, Jill (Independent) 1,568; La Riva, Gloria (Write-in) 35; De La Fuente, Roque (Independent) 80; Castle, Darrell (Independent) 206; Kennedy, Alyson (Independent) 193; Moorehead, Monica (Write-in) 40",,"The other vote was: Stein, Jill (Independent) 1,568; La Riva, Gloria (Write-in) 35; De La Fuente, Roque (Independent) 80; Castle, Darrell (Independent) 206; Kennedy, Alyson (Independent) 193; Moorehead, Monica (Write-in) 40"
President,New Jersey,20161108,N/A,SUSSEX,County,"74,126","46,658","Trump, Donald J.",Challenger,"24,212","Clinton, Hillary Rodham",Challenger,Independent,"2,026","Johnson, Gary E.",Challenger,"1,230","22,446",R,62.94,32.66,2.73,1.66,65.84,34.16,"The other vote was: Stein, Jill (Independent) 845; La Riva, Gloria (Write-in) 22; De La Fuente, Roque (Independent) 46; Castle, Darrell (Independent) 248; Kennedy, Alyson (Independent) 29; Moorehead, Monica (Write-in) 40",,"The other vote was: Stein, Jill (Independent) 845; La Riva, Gloria (Write-in) 22; De La Fuente, Roque (Independent) 46; Castle, Darrell (Independent) 248; Kennedy, Alyson (Independent) 29; Moorehead, Monica (Write-in) 40"
President,New Jersey,20161108,N/A,UNION,County,"221,975","68,114","Trump, Donald J.",Challenger,"147,414","Clinton, Hillary Rodham",Challenger,Independent,"3,628","Johnson, Gary E.",Challenger,"2,819","79,300",D,30.69,66.41,1.63,1.27,31.60,68.40,"The other vote was: Stein, Jill (Independent) 1,779; La Riva, Gloria (Write-in) 149; De La Fuente, Roque (Independent) 91; Castle, Darrell (Independent) 311; Kennedy, Alyson (Independent) 450; Moorehead, Monica (Write-in) 39",,"The other vote was: Stein, Jill (Independent) 1,779; La Riva, Gloria (Write-in) 149; De La Fuente, Roque (Independent) 91; Castle, Darrell (Independent) 311; Kennedy, Alyson (Independent) 450; Moorehead, Monica (Write-in) 39"
President,New Jersey,20161108,N/A,WARREN,County,"49,236","29,858","Trump, Donald J.",Challenger,"17,281","Clinton, Hillary Rodham",Challenger,Independent,"1,261","Johnson, Gary E.",Challenger,836,"12,577",R,60.64,35.10,2.56,1.70,63.34,36.66,"The other vote was: Stein, Jill (Independent) 565; La Riva, Gloria (Write-in) 29; De La Fuente, Roque (Independent) 30; Castle, Darrell (Independent) 113; Kennedy, Alyson (Independent) 51; Moorehead, Monica (Write-in) 48",,"The other vote was: Stein, Jill (Independent) 565; La Riva, Gloria (Write-in) 29; De La Fuente, Roque (Independent) 30; Castle, Darrell (Independent) 113; Kennedy, Alyson (Independent) 51; Moorehead, Monica (Write-in) 48"
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,New Jersey,"3,874,046","1,601,933","2,148,278","72,477","51,358","546,345",D,"546,345",D,41.35,55.45,1.87,1.33,42.72,57.28
,
,
,
