PRESIDENT 2016
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Louisiana,20161108,N/A,CALDWELL,Parish,"4,692","3,822","Trump, Donald J.",Challenger,788,"Clinton, Hillary Rodham",Challenger,Independent,28,"Johnson, Gary E.",Challenger,54,"3,034",R,81.46,16.79,.60,1.15,82.91,17.09,"The other vote was: Jacob, Princess (No Party) 3; Stein, Jill (Independent) 14; Hoefling, Thomas (Write-in) 2; La Riva, Gloria (Write-in) 0; White, Jerry (Write-in) 0; Castle, Darrell (Independent) 9; Kotlikoff, Laurence (Write-in) 1; McMullin, Evan (Independent) 18; Kennedy, Alyson (Independent) 2; Keniston, Chris (Write-in) 5",,"The other vote was: Jacob, Princess (No Party) 3; Stein, Jill (Independent) 14; Hoefling, Thomas (Write-in) 2; La Riva, Gloria (Write-in) 0; White, Jerry (Write-in) 0; Castle, Darrell (Independent) 9; Kotlikoff, Laurence (Write-in) 1; McMullin, Evan (Independent) 18; Kennedy, Alyson (Independent) 2; Keniston, Chris (Write-in) 5"
President,Louisiana,20161108,N/A,CAMERON,Parish,"3,692","3,256","Trump, Donald J.",Challenger,323,"Clinton, Hillary Rodham",Challenger,Independent,57,"Johnson, Gary E.",Challenger,56,"2,933",R,88.19,8.75,1.54,1.52,90.98,9.02,"The other vote was: Jacob, Princess (No Party) 1; Stein, Jill (Independent) 16; Hoefling, Thomas (Write-in) 3; La Riva, Gloria (Write-in) 0; White, Jerry (Write-in) 0; Castle, Darrell (Independent) 6; Kotlikoff, Laurence (Write-in) 1; McMullin, Evan (Independent) 17; Kennedy, Alyson (Independent) 3; Keniston, Chris (Write-in) 9",,"The other vote was: Jacob, Princess (No Party) 1; Stein, Jill (Independent) 16; Hoefling, Thomas (Write-in) 3; La Riva, Gloria (Write-in) 0; White, Jerry (Write-in) 0; Castle, Darrell (Independent) 6; Kotlikoff, Laurence (Write-in) 1; McMullin, Evan (Independent) 17; Kennedy, Alyson (Independent) 3; Keniston, Chris (Write-in) 9"
President,Louisiana,20161108,N/A,CATAHOULA,Parish,"4,856","3,479","Trump, Donald J.",Challenger,"1,322","Clinton, Hillary Rodham",Challenger,Independent,17,"Johnson, Gary E.",Challenger,38,"2,157",R,71.64,27.22,.35,.78,72.46,27.54,"The other vote was: Jacob, Princess (No Party) 0; Stein, Jill (Independent) 14; Hoefling, Thomas (Write-in) 3; La Riva, Gloria (Write-in) 0; White, Jerry (Write-in) 2; Castle, Darrell (Independent) 7; Kotlikoff, Laurence (Write-in) 1; McMullin, Evan (Independent) 6; Kennedy, Alyson (Independent) 0; Keniston, Chris (Write-in) 5",,"The other vote was: Jacob, Princess (No Party) 0; Stein, Jill (Independent) 14; Hoefling, Thomas (Write-in) 3; La Riva, Gloria (Write-in) 0; White, Jerry (Write-in) 2; Castle, Darrell (Independent) 7; Kotlikoff, Laurence (Write-in) 1; McMullin, Evan (Independent) 6; Kennedy, Alyson (Independent) 0; Keniston, Chris (Write-in) 5"
President,Louisiana,20161108,N/A,CLAIBORNE,Parish,"6,421","3,585","Trump, Donald J.",Challenger,"2,717","Clinton, Hillary Rodham",Challenger,Independent,45,"Johnson, Gary E.",Challenger,74,868,R,55.83,42.31,.70,1.15,56.89,43.11,"The other vote was: Jacob, Princess (No Party) 1; Stein, Jill (Independent) 25; Hoefling, Thomas (Write-in) 6; La Riva, Gloria (Write-in) 1; White, Jerry (Write-in) 3; Castle, Darrell (Independent) 10; Kotlikoff, Laurence (Write-in) 5; McMullin, Evan (Independent) 8; Kennedy, Alyson (Independent) 3; Keniston, Chris (Write-in) 12",,"The other vote was: Jacob, Princess (No Party) 1; Stein, Jill (Independent) 25; Hoefling, Thomas (Write-in) 6; La Riva, Gloria (Write-in) 1; White, Jerry (Write-in) 3; Castle, Darrell (Independent) 10; Kotlikoff, Laurence (Write-in) 5; McMullin, Evan (Independent) 8; Kennedy, Alyson (Independent) 3; Keniston, Chris (Write-in) 12"
President,Louisiana,20161108,N/A,CONCORDIA,Parish,"8,872","5,477","Trump, Donald J.",Challenger,"3,272","Clinton, Hillary Rodham",Challenger,Independent,68,"Johnson, Gary E.",Challenger,55,"2,205",R,61.73,36.88,.77,.62,62.60,37.40,"The other vote was: Jacob, Princess (No Party) 3; Stein, Jill (Independent) 14; Hoefling, Thomas (Write-in) 4; La Riva, Gloria (Write-in) 3; White, Jerry (Write-in) 0; Castle, Darrell (Independent) 9; Kotlikoff, Laurence (Write-in) 4; McMullin, Evan (Independent) 8; Kennedy, Alyson (Independent) 4; Keniston, Chris (Write-in) 6",,"The other vote was: Jacob, Princess (No Party) 3; Stein, Jill (Independent) 14; Hoefling, Thomas (Write-in) 4; La Riva, Gloria (Write-in) 3; White, Jerry (Write-in) 0; Castle, Darrell (Independent) 9; Kotlikoff, Laurence (Write-in) 4; McMullin, Evan (Independent) 8; Kennedy, Alyson (Independent) 4; Keniston, Chris (Write-in) 6"
President,Louisiana,20161108,N/A,DE SOTO,Parish,"13,500","8,068","Trump, Donald J.",Challenger,"5,165","Clinton, Hillary Rodham",Challenger,Independent,128,"Johnson, Gary E.",Challenger,139,"2,903",R,59.76,38.26,.95,1.03,60.97,39.03,"The other vote was: Jacob, Princess (No Party) 10; Stein, Jill (Independent) 33; Hoefling, Thomas (Write-in) 7; La Riva, Gloria (Write-in) 0; White, Jerry (Write-in) 3; Castle, Darrell (Independent) 16; Kotlikoff, Laurence (Write-in) 8; McMullin, Evan (Independent) 51; Kennedy, Alyson (Independent) 2; Keniston, Chris (Write-in) 9",,"The other vote was: Jacob, Princess (No Party) 10; Stein, Jill (Independent) 33; Hoefling, Thomas (Write-in) 7; La Riva, Gloria (Write-in) 0; White, Jerry (Write-in) 3; Castle, Darrell (Independent) 16; Kotlikoff, Laurence (Write-in) 8; McMullin, Evan (Independent) 51; Kennedy, Alyson (Independent) 2; Keniston, Chris (Write-in) 9"
President,Louisiana,20161108,N/A,EAST BATON ROUGE,Parish,"196,491","84,660","Trump, Donald J.",Challenger,"102,828","Clinton, Hillary Rodham",Challenger,Independent,"4,959","Johnson, Gary E.",Challenger,"4,044","18,168",D,43.09,52.33,2.52,2.06,45.15,54.85,"The other vote was: Jacob, Princess (No Party) 79; Stein, Jill (Independent) 1,643; Hoefling, Thomas (Write-in) 199; La Riva, Gloria (Write-in) 49; White, Jerry (Write-in) 44; Castle, Darrell (Independent) 318; Kotlikoff, Laurence (Write-in) 115; McMullin, Evan (Independent) 1,364; Kennedy, Alyson (Independent) 42; Keniston, Chris (Write-in) 191",,"The other vote was: Jacob, Princess (No Party) 79; Stein, Jill (Independent) 1,643; Hoefling, Thomas (Write-in) 199; La Riva, Gloria (Write-in) 49; White, Jerry (Write-in) 44; Castle, Darrell (Independent) 318; Kotlikoff, Laurence (Write-in) 115; McMullin, Evan (Independent) 1,364; Kennedy, Alyson (Independent) 42; Keniston, Chris (Write-in) 191"
President,Louisiana,20161108,N/A,EAST CARROLL,Parish,"2,939","1,059","Trump, Donald J.",Challenger,"1,838","Clinton, Hillary Rodham",Challenger,Independent,16,"Johnson, Gary E.",Challenger,26,779,D,36.03,62.54,.54,.88,36.56,63.44,"The other vote was: Jacob, Princess (No Party) 2; Stein, Jill (Independent) 6; Hoefling, Thomas (Write-in) 4; La Riva, Gloria (Write-in) 1; White, Jerry (Write-in) 0; Castle, Darrell (Independent) 4; Kotlikoff, Laurence (Write-in) 3; McMullin, Evan (Independent) 3; Kennedy, Alyson (Independent) 2; Keniston, Chris (Write-in) 1",,"The other vote was: Jacob, Princess (No Party) 2; Stein, Jill (Independent) 6; Hoefling, Thomas (Write-in) 4; La Riva, Gloria (Write-in) 1; White, Jerry (Write-in) 0; Castle, Darrell (Independent) 4; Kotlikoff, Laurence (Write-in) 3; McMullin, Evan (Independent) 3; Kennedy, Alyson (Independent) 2; Keniston, Chris (Write-in) 1"
President,Louisiana,20161108,N/A,EAST FELICIANA,Parish,"10,042","5,569","Trump, Donald J.",Challenger,"4,235","Clinton, Hillary Rodham",Challenger,Independent,102,"Johnson, Gary E.",Challenger,136,"1,334",R,55.46,42.17,1.02,1.35,56.80,43.20,"The other vote was: Jacob, Princess (No Party) 5; Stein, Jill (Independent) 38; Hoefling, Thomas (Write-in) 10; La Riva, Gloria (Write-in) 1; White, Jerry (Write-in) 3; Castle, Darrell (Independent) 19; Kotlikoff, Laurence (Write-in) 7; McMullin, Evan (Independent) 40; Kennedy, Alyson (Independent) 1; Keniston, Chris (Write-in) 12",,"The other vote was: Jacob, Princess (No Party) 5; Stein, Jill (Independent) 38; Hoefling, Thomas (Write-in) 10; La Riva, Gloria (Write-in) 1; White, Jerry (Write-in) 3; Castle, Darrell (Independent) 19; Kotlikoff, Laurence (Write-in) 7; McMullin, Evan (Independent) 40; Kennedy, Alyson (Independent) 1; Keniston, Chris (Write-in) 12"
President,Louisiana,20161108,N/A,EVANGELINE,Parish,"14,882","10,360","Trump, Donald J.",Challenger,"4,208","Clinton, Hillary Rodham",Challenger,Independent,116,"Johnson, Gary E.",Challenger,198,"6,152",R,69.61,28.28,.78,1.33,71.11,28.89,"The other vote was: Jacob, Princess (No Party) 14; Stein, Jill (Independent) 66; Hoefling, Thomas (Write-in) 10; La Riva, Gloria (Write-in) 2; White, Jerry (Write-in) 4; Castle, Darrell (Independent) 34; Kotlikoff, Laurence (Write-in) 10; McMullin, Evan (Independent) 37; Kennedy, Alyson (Independent) 1; Keniston, Chris (Write-in) 20",,"The other vote was: Jacob, Princess (No Party) 14; Stein, Jill (Independent) 66; Hoefling, Thomas (Write-in) 10; La Riva, Gloria (Write-in) 2; White, Jerry (Write-in) 4; Castle, Darrell (Independent) 34; Kotlikoff, Laurence (Write-in) 10; McMullin, Evan (Independent) 37; Kennedy, Alyson (Independent) 1; Keniston, Chris (Write-in) 20"
