PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Idaho,20121106,N/A,ADA,County,"180,562","97,554","Romney, W. Mitt",Challenger,"77,137","Obama, Barack H.",Incumbent,Libertarian,"3,422","Johnson, Gary E.",Challenger,"2,449","20,417",R,54.03,42.72,1.90,1.36,55.84,44.16,"The other vote was: Anderson, Ross C. (Justice) 636; Stein, Jill (Green) 1,320; Goode, Virgil H. Jr. (Write-in) 477; Scattered Write-In (Write-in) 16",,"The other vote was: Anderson, Ross C. (Justice) 636; Stein, Jill (Green) 1,320; Goode, Virgil H. Jr. (Write-in) 477; Scattered Write-In (Write-in) 16"
President,Idaho,20121106,N/A,BUTTE,County,"1,286","1,001","Romney, W. Mitt",Challenger,258,"Obama, Barack H.",Incumbent,Libertarian,8,"Johnson, Gary E.",Challenger,19,743,R,77.84,20.06,.62,1.48,79.51,20.49,"The other vote was: Anderson, Ross C. (Justice) 7; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 7; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 4; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,CAMAS,County,578,402,"Romney, W. Mitt",Challenger,159,"Obama, Barack H.",Incumbent,Libertarian,7,"Johnson, Gary E.",Challenger,10,243,R,69.55,27.51,1.21,1.73,71.66,28.34,"The other vote was: Anderson, Ross C. (Justice) 4; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 1; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 4; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 1; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,CANYON,County,"66,101","44,369","Romney, W. Mitt",Challenger,"19,866","Obama, Barack H.",Incumbent,Libertarian,945,"Johnson, Gary E.",Challenger,921,"24,503",R,67.12,30.05,1.43,1.39,69.07,30.93,"The other vote was: Anderson, Ross C. (Justice) 242; Stein, Jill (Green) 440; Goode, Virgil H. Jr. (Write-in) 228; Scattered Write-In (Write-in) 11",,"The other vote was: Anderson, Ross C. (Justice) 242; Stein, Jill (Green) 440; Goode, Virgil H. Jr. (Write-in) 228; Scattered Write-In (Write-in) 11"
President,Idaho,20121106,N/A,CARIBOU,County,"3,052","2,608","Romney, W. Mitt",Challenger,386,"Obama, Barack H.",Incumbent,Libertarian,21,"Johnson, Gary E.",Challenger,37,"2,222",R,85.45,12.65,.69,1.21,87.11,12.89,"The other vote was: Anderson, Ross C. (Justice) 18; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 11; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 18; Stein, Jill (Green) 8; Goode, Virgil H. Jr. (Write-in) 11; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,CASSIA,County,"8,396","7,154","Romney, W. Mitt",Challenger,"1,098","Obama, Barack H.",Incumbent,Libertarian,70,"Johnson, Gary E.",Challenger,74,"6,056",R,85.21,13.08,.83,.88,86.69,13.31,"The other vote was: Anderson, Ross C. (Justice) 25; Stein, Jill (Green) 27; Goode, Virgil H. Jr. (Write-in) 22; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 25; Stein, Jill (Green) 27; Goode, Virgil H. Jr. (Write-in) 22; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,CLARK,County,328,235,"Romney, W. Mitt",Challenger,66,"Obama, Barack H.",Incumbent,Libertarian,16,"Johnson, Gary E.",Challenger,11,169,R,71.65,20.12,4.88,3.35,78.07,21.93,"The other vote was: Anderson, Ross C. (Justice) 3; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 3; Stein, Jill (Green) 5; Goode, Virgil H. Jr. (Write-in) 3; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,CLEARWATER,County,"3,696","2,541","Romney, W. Mitt",Challenger,"1,032","Obama, Barack H.",Incumbent,Libertarian,44,"Johnson, Gary E.",Challenger,79,"1,509",R,68.75,27.92,1.19,2.14,71.12,28.88,"The other vote was: Anderson, Ross C. (Justice) 28; Stein, Jill (Green) 33; Goode, Virgil H. Jr. (Write-in) 18; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 28; Stein, Jill (Green) 33; Goode, Virgil H. Jr. (Write-in) 18; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,CUSTER,County,"2,355","1,744","Romney, W. Mitt",Challenger,530,"Obama, Barack H.",Incumbent,Libertarian,25,"Johnson, Gary E.",Challenger,56,"1,214",R,74.06,22.51,1.06,2.38,76.69,23.31,"The other vote was: Anderson, Ross C. (Justice) 16; Stein, Jill (Green) 28; Goode, Virgil H. Jr. (Write-in) 9; Scattered Write-In (Write-in) 3",,"The other vote was: Anderson, Ross C. (Justice) 16; Stein, Jill (Green) 28; Goode, Virgil H. Jr. (Write-in) 9; Scattered Write-In (Write-in) 3"
President,Idaho,20121106,N/A,ELMORE,County,"8,003","5,227","Romney, W. Mitt",Challenger,"2,513","Obama, Barack H.",Incumbent,Libertarian,124,"Johnson, Gary E.",Challenger,139,"2,714",R,65.31,31.40,1.55,1.74,67.53,32.47,"The other vote was: Anderson, Ross C. (Justice) 40; Stein, Jill (Green) 64; Goode, Virgil H. Jr. (Write-in) 33; Scattered Write-In (Write-in) 2",,"The other vote was: Anderson, Ross C. (Justice) 40; Stein, Jill (Green) 64; Goode, Virgil H. Jr. (Write-in) 33; Scattered Write-In (Write-in) 2"
President,Idaho,20121106,N/A,FRANKLIN,County,"5,600","5,195","Romney, W. Mitt",Challenger,325,"Obama, Barack H.",Incumbent,Libertarian,41,"Johnson, Gary E.",Challenger,39,"4,870",R,92.77,5.80,.73,.70,94.11,5.89,"The other vote was: Anderson, Ross C. (Justice) 15; Stein, Jill (Green) 7; Goode, Virgil H. Jr. (Write-in) 17; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 15; Stein, Jill (Green) 7; Goode, Virgil H. Jr. (Write-in) 17; Scattered Write-In (Write-in) 0"
President,Idaho,20121106,N/A,FREMONT,County,"5,802","4,907","Romney, W. Mitt",Challenger,810,"Obama, Barack H.",Incumbent,Libertarian,34,"Johnson, Gary E.",Challenger,51,"4,097",R,84.57,13.96,.59,.88,85.83,14.17,"The other vote was: Anderson, Ross C. (Justice) 19; Stein, Jill (Green) 20; Goode, Virgil H. Jr. (Write-in) 12; Scattered Write-In (Write-in) 0",,"The other vote was: Anderson, Ross C. (Justice) 19; Stein, Jill (Green) 20; Goode, Virgil H. Jr. (Write-in) 12; Scattered Write-In (Write-in) 0"
