PRESIDENT 2012
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Nebraska,20121106,N/A,CHASE,County,"1,867","1,584","Romney, W. Mitt",Challenger,254,"Obama, Barack H.",Incumbent,Libertarian,17,"Johnson, Gary E.",Challenger,12,"1,330",R,84.84,13.60,.91,.64,86.18,13.82,"The other vote was: Terry, Randall (Independent) 7; Scattered Write-In (Write-in) 5",,"The other vote was: Terry, Randall (Independent) 7; Scattered Write-In (Write-in) 5"
President,Nebraska,20121106,N/A,CHERRY,County,"3,064","2,557","Romney, W. Mitt",Challenger,436,"Obama, Barack H.",Incumbent,Libertarian,47,"Johnson, Gary E.",Challenger,24,"2,121",R,83.45,14.23,1.53,.78,85.43,14.57,"The other vote was: Terry, Randall (Independent) 12; Scattered Write-In (Write-in) 12",,"The other vote was: Terry, Randall (Independent) 12; Scattered Write-In (Write-in) 12"
President,Nebraska,20121106,N/A,CHEYENNE,County,"4,649","3,449","Romney, W. Mitt",Challenger,"1,084","Obama, Barack H.",Incumbent,Libertarian,69,"Johnson, Gary E.",Challenger,47,"2,365",R,74.19,23.32,1.48,1.01,76.09,23.91,"The other vote was: Terry, Randall (Independent) 22; Scattered Write-In (Write-in) 25",,"The other vote was: Terry, Randall (Independent) 22; Scattered Write-In (Write-in) 25"
President,Nebraska,20121106,N/A,CLAY,County,"2,947","2,232","Romney, W. Mitt",Challenger,667,"Obama, Barack H.",Incumbent,Libertarian,31,"Johnson, Gary E.",Challenger,17,"1,565",R,75.74,22.63,1.05,.58,76.99,23.01,"The other vote was: Terry, Randall (Independent) 11; Scattered Write-In (Write-in) 6",,"The other vote was: Terry, Randall (Independent) 11; Scattered Write-In (Write-in) 6"
President,Nebraska,20121106,N/A,COLFAX,County,"3,069","2,051","Romney, W. Mitt",Challenger,969,"Obama, Barack H.",Incumbent,Libertarian,31,"Johnson, Gary E.",Challenger,18,"1,082",R,66.83,31.57,1.01,.59,67.91,32.09,"The other vote was: Terry, Randall (Independent) 12; Scattered Write-In (Write-in) 6",,"The other vote was: Terry, Randall (Independent) 12; Scattered Write-In (Write-in) 6"
President,Nebraska,20121106,N/A,CUMING,County,"3,976","2,876","Romney, W. Mitt",Challenger,"1,031","Obama, Barack H.",Incumbent,Libertarian,41,"Johnson, Gary E.",Challenger,28,"1,845",R,72.33,25.93,1.03,.70,73.61,26.39,"The other vote was: Terry, Randall (Independent) 14; Scattered Write-In (Write-in) 14",,"The other vote was: Terry, Randall (Independent) 14; Scattered Write-In (Write-in) 14"
President,Nebraska,20121106,N/A,CUSTER,County,"5,498","4,296","Romney, W. Mitt",Challenger,"1,083","Obama, Barack H.",Incumbent,Libertarian,79,"Johnson, Gary E.",Challenger,40,"3,213",R,78.14,19.70,1.44,.73,79.87,20.13,"The other vote was: Terry, Randall (Independent) 22; Scattered Write-In (Write-in) 18",,"The other vote was: Terry, Randall (Independent) 22; Scattered Write-In (Write-in) 18"
President,Nebraska,20121106,N/A,DAKOTA,County,"6,136","3,094","Romney, W. Mitt",Challenger,"2,922","Obama, Barack H.",Incumbent,Libertarian,82,"Johnson, Gary E.",Challenger,38,172,R,50.42,47.62,1.34,.62,51.43,48.57,"The other vote was: Terry, Randall (Independent) 18; Scattered Write-In (Write-in) 20",,"The other vote was: Terry, Randall (Independent) 18; Scattered Write-In (Write-in) 20"
President,Nebraska,20121106,N/A,DAWES,County,"3,728","2,478","Romney, W. Mitt",Challenger,"1,132","Obama, Barack H.",Incumbent,Libertarian,71,"Johnson, Gary E.",Challenger,47,"1,346",R,66.47,30.36,1.90,1.26,68.64,31.36,"The other vote was: Terry, Randall (Independent) 30; Scattered Write-In (Write-in) 17",,"The other vote was: Terry, Randall (Independent) 30; Scattered Write-In (Write-in) 17"
President,Nebraska,20121106,N/A,DAWSON,County,"7,859","5,460","Romney, W. Mitt",Challenger,"2,199","Obama, Barack H.",Incumbent,Libertarian,113,"Johnson, Gary E.",Challenger,87,"3,261",R,69.47,27.98,1.44,1.11,71.29,28.71,"The other vote was: Terry, Randall (Independent) 42; Scattered Write-In (Write-in) 45",,"The other vote was: Terry, Randall (Independent) 42; Scattered Write-In (Write-in) 45"
