PRESIDENT 1980
,
Office,State,RaceDate,CensusPop,Area,AreaType,TotalVotes,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,RepVotesTotalPercent,DemVotesTotalPercent,ThirdVotesTotalPercent,OtherVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes,TitleNotes,OtherNotes
President,Delaware,19801104,N/A,KENT,County,"29,878","14,882","Reagan, Ronald",Challenger,"12,884","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"2,112","1,998",R,49.81,43.12,.00,7.07,53.60,46.40,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Delaware,19801104,N/A,NEW CASTLE,County,"168,638","76,898","Reagan, Ronald",Challenger,"76,897","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"14,843",1,R,45.60,45.60,.00,8.80,50.00,50.00,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
President,Delaware,19801104,N/A,SUSSEX,County,"37,384","19,472","Reagan, Ronald",Challenger,"15,973","Carter, Jimmy",Incumbent,N/A,N/A,N/A,N/A,"1,939","3,499",R,52.09,42.73,.00,5.19,54.94,45.06,"In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.","In Texas, to account for discrepancies between reported county-by-county figures and reported state totals, and extra row of data, ""Votes not reported by county,"" has been included.",
,
CensusPopAll,AreaAll,TotalVotesAll,RepVotesAll,DemVotesAll,ThirdVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepDemPluralityVotesAll,RepDemPluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,ThirdVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,Delaware,"235,900","111,252","105,754",N/A,"18,894","5,498",R,"5,498",R,47.16,44.83,.00,8.01,51.27,48.73
,
,
,
